#"Step","Potential Energy (kJ/mole)"
2650,-11.0147229635
2660,-10.4887765134
2670,-9.81640975124
2680,-9.27007582636
2690,-9.25434686935
2700,-9.69285138009
2710,-9.7419977657
2720,-9.21302734499
2730,-8.69920694466
2740,-8.89566653157
2750,-9.84305274498
2760,-10.1028395906
2770,-10.2200264813
2780,-9.01139796479
2790,-9.41536577561
2800,-11.4572369146
2810,-11.7409870978
2820,-12.2984452161
2830,-12.5616452676
2840,-12.7188208304
2850,-13.8823223602
2860,-13.8549182328
2870,-13.3371398604
2880,-12.9020628948
2890,-11.8678078896
2900,-13.1669323694
2910,-13.3968638331
2920,-12.4649577038
2930,-13.233221547
2940,-12.7967782375
2950,-12.5364156307
2960,-14.0814855062
2970,-14.0206321568
2980,-14.0589017937
2990,-13.4845441556
3000,-12.4407871761
3010,-13.4760900361
3020,-12.2826931952
3030,-11.9472297494
3040,-12.7180277316
3050,-11.9587470885
3060,-13.0645880744
3070,-12.7998232826
3080,-12.8840814742
3090,-14.318861941
3100,-13.4402610961
3110,-14.4228050123
3120,-14.4963148492
3130,-13.8805392981
3140,-14.1465664568
3150,-12.6758729352
3160,-13.3594904936
3170,-14.1208698242
3180,-12.9890157162
3190,-13.7208416022
3200,-13.8097697079
3210,-14.2885832311
3220,-14.4894027368
3230,-13.7086029485
3240,-14.2520550068
3250,-13.0688978587
3260,-13.2445452823
3270,-14.1483854805
3280,-13.1229909254
3290,-13.8246629368
3300,-13.121215751
3310,-12.6208979315
3320,-14.1991896874
3330,-12.7645823775
3340,-13.6150094983
3350,-12.8844688577
3360,-12.2075703099
3370,-13.4012517736
3380,-12.2028050939
3390,-11.7663548974
3400,-11.4585147635
3410,-10.6137928375
3420,-12.086998833
3430,-11.5240254868
3440,-11.6474208646
3450,-11.9168418222
3460,-11.6600570357
3470,-13.744999068
3480,-13.2685862631
3490,-13.0676196951
3500,-11.984425029
3510,-12.017877961
3520,-14.0653697777
3530,-12.5781595854
3540,-12.1022414268
3550,-12.3569362628
3560,-11.7727781515
3570,-13.8872310556
3580,-12.552861424
3590,-12.2075232046
3600,-12.5728694037
3610,-11.1924270361
3620,-13.6059919457
3630,-13.1736558057
3640,-10.9984922214
3650,-12.3002763378
3660,-10.5790343337
3670,-12.4925645632
3680,-12.7692352374
3690,-12.4573922518
3700,-13.6820426085
3710,-10.7930620387
3720,-11.845427043
3730,-12.7020444927
3740,-11.6052909351
3750,-13.01397084
3760,-10.744745084
3770,-12.0382773911
3780,-13.6638272407
3790,-12.2497952904
3800,-12.2108052126
3810,-11.8240063791
3820,-13.2529273653
3830,-13.4482847215
3840,-13.4342210269
3850,-14.6008532716
3860,-13.9469070232
3870,-13.0163410871
3880,-13.2703337964
3890,-13.6026380728
3900,-14.4276665315
3910,-14.8574974162
3920,-15.1407693784
3930,-16.179482579
3940,-16.5107772704
3950,-14.9676560909
3960,-13.8043400136
3970,-13.8744332499
3980,-13.4369763221
3990,-13.4156323693
4000,-14.1160138504
4010,-16.1153291845
4020,-15.7571069117
4030,-14.4621348873
4040,-17.2884598563
4050,-18.1788063673
4060,-18.8536104099
4070,-17.9269325432
4080,-17.9093423249
4090,-19.7716945432
4100,-18.142095186
4110,-18.0039307571
4120,-18.3376900451
4130,-18.2883301871
4140,-17.2005792559
4150,-14.9384716178
4160,-16.9206148293
4170,-18.0134913969
4180,-15.6325425116
4190,-14.9990663569
4200,-15.4659145678
4210,-16.3364192085
4220,-16.4585172651
4230,-13.5435304561
4240,-14.321157652
4250,-15.2535775169
4260,-15.2924907147
4270,-14.5528671495
4280,-13.8218910413
4290,-15.2679863392
4300,-14.2257573354
4310,-13.6169906182
4320,-14.5656669258
4330,-14.03396251
4340,-13.8805557111
4350,-13.8494097791
